Product Name,Rating,Customers_Rated,Price,Category
The Philosophy of Modern Song,4.3 out of 5 stars,123,$28.93,Books
"Bounty Quick-Size Paper Towels, White, 16 Family Rolls = 40 Regular Rolls",4.8 out of 5 stars,"81,922",$39.61,Health and Household
My First Complete Learning Library: Boxset of 20 Board Books for Kids,4.7 out of 5 stars,"12,447",$25.50,Books
"Nature’s Bounty Magnesium, Bone and Muscle Health, Tablets, 500 mg, 200 Ct",4.7 out of 5 stars,"64,410",$10.09,Health and Household
Beautiful Boards: 50 Amazing Snack Boards for Any Occasion,4.8 out of 5 stars,"9,060",$15.70,Books
"Amazon Basic Care Extra Strength Pain Relief, Acetaminophen Caplets, 500 mg, 200 Count",4.8 out of 5 stars,"61,637",$7.62,Health and Household
Wreck This Journal: Now in Color,4.7 out of 5 stars,"22,370",$9.59,Books
"USB C to HDMI Cable for Home Office 6ft (4K@60Hz), uni USB Type C to HDMI Cable, Thunderbolt 3 Compatible with MacBook Pro 20",4.6 out of 5 stars,"21,511",$16.50,Electronics
"Insignia 24-inch Class F20 Series Smart HD 720p Fire TV (NS-24DF310NA21, 2020 Model)",4.5 out of 5 stars,"19,625",$79.99,Electronics
Fahrenheit 451,4.7 out of 5 stars,"32,264",$8.29,Books
How to Catch an Elf,4.8 out of 5 stars,"7,001",$8.04,Books
